Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0603,6,22uF,C59461 
"C10, C11, C12, C13, C14, C7, C8, C9",0402,8,22nF,C1532
C15,0402,1,100pF,C1546 
C16,0402,1,100nF,C307331 
D1,0603,1,RED,C2286 
J1,microSD_HC_SOFNG_TF-008,1,Micro_SD_Card_Det2,C428465
J3,XKB Connection A71-05H4-111N1,1,HDMI_C_1.3,C2682170
"J4, J5, J6",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,3,USB_C_Receptacle_USB2.0_14P,C2765186
"L1, L2, L3",0805,3,2.2uH,C1043
"R1, R3, R5",0402,3,15k,C25756 
R10,0402,1,100k,C25741
"R11, R12, R22",0402,3,4.7k,C25900 
"R13, R14",0402,2,3.3k,C25890 
"R15, R16, R17, R18, R19, R20",0402,6,5.1k,C25905 
"R2, R4, R6",0402,3,18k,C25762 
R21,0402,1,100,C25076 
"R23, R24, R25, R26, R8",0402,5,10k,C25744
"R7, R9",0402,2,470,C25117 
U1,BGA-256_14.0x14.0mm_Layout16x16_P0.8mm_Ball0.45mm_Pad0.32mm_NSMD,1,ECP5U_12_CABGA256,C1521614
"U10, U8, U9",Texas_DRT-3,3,TPD2EUSB30A,C3011197
U11,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
"U2, U3, U4",SOT-23-5,3,TLV62569DBV,C141836
U5,VSSOP-8_2.3x2mm_P0.5mm,1,PCA9306DC1,C129510
U6,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,C132159
U7,TSOP-II-54_22.2x10.16mm_P0.8mm,1,W9825G6KH,C62246
Y1,Oscillator_SMD_SiT_PQFN-4Pin_3.2x2.5mm,1,YSO690PR,C496694
